id,repo,surface,feature,user_story,expected_behavior,source_evidence,status,test_plan,test_status,error_log,fix_status,retest_status,notes
SQL-001,rvbbit-sql,extension,Install and version smoke,"As a database operator, I want to install the extension and verify the runtime version so I know the database is ready for rvbbit features.","The packaged Postgres image starts, CREATE EXTENSION succeeds via init SQL, and SELECT rvbbit.rvbbit_version() returns a version without requiring app auth.",README.md:76; docker/init/01-create-extension.sql,tested_pass,Run compose stack smoke query and a disposable clean-data container from docker-pg-rvbbit; wait on rvbbit.rvbbit_version() rather than pg_isready alone.,runtime_smoke_pass,"Compose pg-rvbbit query returned extension 2.4.1, rvbbit_version 2.4.1, 84 schema migrations, and 41 operators. Disposable clean container from docker-pg-rvbbit returned extension 2.4.1, rvbbit_version 2.4.1, 84 schema migrations, and 37 operators after waiting for rvbbit.rvbbit_version() to succeed. A raw pg_isready wait raced the temporary init server and briefly saw schema rvbbit missing; no product fix needed, only test readiness should wait for the extension function.",not_needed,passed,Disposable container was removed; compose stack left running as it was before the test.
SQL-002,rvbbit-sql,semantic SQL,Create and call semantic operators,"As a SQL user, I want to define an operator once and call it like a regular SQL function in SELECT, WHERE, JOIN, and ORDER BY contexts.","rvbbit.create_operator writes an operator catalog row, creates a callable SQL function, accepts typed args, and produces receipts/stats when invoked.",README.md:10; docs/OPERATORS.md:37; docs/OPERATORS.md:132; content/docs/sql-reference.md:19; tests/test_operators.py,tested_pass,"Create deterministic code-backed operator, call it from SELECT, WHERE, JOIN, and ORDER BY, inspect rvbbit.operators, generated wrapper, receipts, and judgment stats.",runtime_smoke_pass,"Created temporary code-backed uppercase operator codex_sql002_upper_87f29355 through rvbbit.create_operator. SELECT returned MIXED CASE; WHERE returned beta rows 2 and 4; JOIN matched ALPHA/BETA keys; ORDER BY returned gamma then beta; catalog row had return_type text, parser strip, step kind code; wrapper_count 1; receipt_count 4; judgment_stats n_invocations 4 and n_unique_inputs 4. Cleanup removed receipts, operator row, and generated functions. Targeted docker bench pytest /tests/test_operators.py::test_create_operator_basic -q passed.",not_needed,passed,No product changes needed.
SQL-003,rvbbit-sql,semantic SQL,Multi-step cascades,"As an operator author, I want one callable SQL function to run ordered steps across LLM, specialist, SQL, Python, code, embed, and MCP nodes.","The operator runtime evaluates step templates against inputs and prior step outputs, persists sub_calls, and returns the final typed output without exposing orchestration to the caller.",README.md:63; docs/OPERATORS.md:260; docs/OPERATORS.md:747; crates/pg_rvbbit/src/unit_of_work.rs:259; tests/test_sql_node.py; tests/test_specialist_nodes.py; tests/test_multi_step.py,tested_pass,"Create a deterministic multi-step operator with SQL, code, and specialist nodes; verify final output, generated wrapper, catalog steps, and receipt sub_calls.",runtime_smoke_pass,"Created temporary cascade codex_sql003_chain_2f69dc92 with SQL lookup -> code uppercase -> stub specialist embedding. Calling rvbbit.<op>('2') returned a jsonb vector of length 8. Receipt sub_calls had length 3 with ordered kinds sql, code, specialist and steps row, up, vec. Catalog stored 3 steps with the same kinds and wrapper_count was 1. Cleanup removed receipts, operator, wrapper functions, stub backend, and lookup table. Targeted docker bench pytest /tests/test_sql_node.py::test_sql_node_feeds_downstream /tests/test_specialist_nodes.py::test_chained_code_then_specialist /tests/test_multi_step.py::test_receipts_has_subcalls_and_query_id -q passed.",not_needed,passed,"LLM, Python, MCP, and embed-specific node behavior are covered by their dedicated stories/harness phases; this story validated ordered multi-kind cascade mechanics deterministically."
SQL-004,rvbbit-sql,semantic SQL,Retry policies,"As an operator author, I want bounded retry with feedback when output violates a predicate so flaky model output can self-correct.","set_operator_retry stores retry JSON; execution retries until the SQL predicate passes or the max attempt limit is reached, with feedback rendered into subsequent attempts.",README.md:66; docs/OPERATORS.md:357; docs/OPERATORS.md:380; tests/test_validators_retry.py,tested_pass,"Use deterministic SQL-node operator that fails then passes; verify retry count, stored config, and final receipt audit.",runtime_smoke_pass,"Created temporary retry operator codex_sql004_retry_c751f8e8 whose SQL node called a volatile helper returning BADVAL on attempt 1 and GOODVAL on attempt 2. set_operator_retry stored max_attempts 3 plus instructions; validator required ($output::jsonb)->>'value' = 'GOODVAL'. Call returned {value: GOODVAL}; state counter showed 2 attempts; receipt output cast to jsonb was {value: GOODVAL}; sub_calls length was 2 with sql/sql kinds. Initial probe using $output->>'value' failed with Postgres ambiguous unknown operator, so jsonb validators need explicit $output::jsonb casts. docker bench pytest /tests/test_validators_retry.py -q passed: 10 passed, 1 live-LLM test skipped by RUN_LLM_TESTS guard.",not_needed,passed,No product changes needed. Live feedback-render correction remains covered by opt-in RUN_LLM_TESTS=1 because deterministic nodes do not consume prompt feedback.
SQL-005,rvbbit-sql,semantic SQL,Wards and validators,"As an operator owner, I want pre and post gates around an operator so invalid inputs or outputs are blocked or warned consistently.",set_operator_wards stores pre/post validators; blocking wards prevent invalid execution/output while advisory wards record diagnostics without breaking valid calls.,README.md:67; docs/OPERATORS.md:284; docs/OPERATORS.md:413; tests/test_wards.py,tested_pass,"Create blocking pre/post wards with allowed labels; test valid, invalid, and advisory outputs and inspect receipts/errors.",runtime_smoke_pass,"Temporary trim operator codex_sql005_seq_* with blocking pre length>=3 and blocking post $output IN ('GOOD','OK') behaved as expected: input ' ab ' returned empty with input rejected by a blocking pre-ward and 0 sub_calls; input ' BAD ' returned empty with output rejected by a blocking post-ward and 1 sub_call; input ' GOOD ' returned GOOD with no error and 1 sub_call. Isolated advisory coverage from docker bench pytest /tests/test_wards.py -q passed: 6 passed.",not_needed,passed,No product changes needed.
SQL-006,rvbbit-sql,semantic SQL,Takes and reducers,"As an operator author, I want N independent takes with reducers so ensembles can vote, choose first-valid, take medians, or evaluate candidates inside SQL.","set_operator_takes stores factor/reducer config; execution produces multiple attempts and reduces them according to the reducer contract, including heterogeneous takes.",README.md:65; docs/OPERATORS.md:477; docs/OPERATORS.md:527; tests/test_takes.py; tests/test_heterogeneous_takes.py,tested_pass,"Create deterministic vote reducer and heterogeneous takes examples; verify reduced value, stored config, and sub-call count.",runtime_smoke_pass,"Homogeneous temporary operator codex_sql006_vote_0d9b3914 used set_operator_takes factor 3 reduce vote; call returned hi and receipt recorded output hi, 3 sub_calls, reduce vote, factor 3. Heterogeneous temporary operator codex_sql006_mixed_0d9b3914 used nodes code trim + stub specialist with reduce first_valid; call returned mixed and receipt recorded 2 sub_calls with kinds code and specialist. Cleanup removed both operators, receipts, wrappers, and stub backend. docker bench pytest /tests/test_takes.py /tests/test_heterogeneous_takes.py -q passed: 11 passed, 2 live-LLM tests skipped by RUN_LLM_TESTS guard.",not_needed,passed,No product changes needed.
SQL-007,rvbbit-sql,semantic SQL,Operator self-tests,"As an operator maintainer, I want embedded examples and assertions so an operator can prove its contract after changes.","Operator tests are stored with definitions, runnable from SQL, and failures identify the operator/test case rather than silently passing.",docs/OPERATORS.md:592; tests/test_op_bundle.py; tests/test_shapes.py,tested_pass,Add tests to a temporary operator and run rvbbit.run_tests plus rvbbit.run_all_tests.,runtime_smoke_pass,"Temporary operator codex_sql007_tests_9aa2a067 stored four op_tests. rvbbit.run_tests reported contains_pass true with actual hello world expected world; trim_pass true with actual hi expected hi and description; exact_fail false with actual bye expected hi; sql_error false with error division by zero. rvbbit.run_all_tests returned 4 rows for the operator. Cleanup removed receipts, operator row, and wrappers. docker bench pytest /tests/test_shapes.py::test_run_tests_function_exists /tests/test_shapes.py::test_run_tests_with_stub_operator /tests/test_op_bundle.py -q passed: 10 passed.",not_needed,passed,No product changes needed.
SQL-008,rvbbit-sql,semantic SQL,Content-hash cache invalidation,"As a user paying for semantic calls, I want identical calls to hit cache and definition changes to invalidate safely.","Cache keys include operator name, model, prompt seed, steps, model override, and inputs; repeated calls reuse cached results, prompt/model/steps changes create a new cache key, and retry/wards/takes changes require explicit judgment_purge as documented.",README.md:70; docs/OPERATORS.md:708; tests/test_cache_and_flow.py; crates/pg_rvbbit/src/operators.rs; crates/pg_rvbbit/src/catalog.rs,tested_pass,"Call a deterministic operator twice, alter steps, call again immediately, compare cache and receipt behavior.",runtime_fix_pass,Initial smoke reproduced stale same-session behavior: UPDATE steps reused the old operator memo until the 3s TTL. Fixed rvbbit.touch_operators_updated_at in catalog.rs and migration 0085_operator_update_flush_cache.sql to flush L1/operator memo on operator UPDATE. Later SQL-017 pgrx coverage caught fresh CREATE EXTENSION failure when the trigger called rvbbit.flush_cache before pgrx functions were registered; trigger now catches undefined_function during that install-order window.,fixed_and_regression_added,passed,"Added tests/test_cache_and_flow.py::test_operator_update_flushes_cache_and_operator_memo; docker bench pytest /tests/test_cache_and_flow.py -q passed earlier, cargo check passed with known warnings, migration chain check passed, and cargo test synth_ --lib -- --test-threads=1 passed after the fresh-install guard. rustfmt --check catalog.rs still has unrelated pre-existing formatting drift."
SQL-009,rvbbit-sql,observability,Receipts and judgment stats,"As an operator user, I want queryable receipts and aggregate stats for each semantic call so audit, cost, latency, errors, and subcalls are inspectable.","rvbbit.receipts records invocation metadata and sub_calls; judgment_stats aggregates invocations, unique inputs, cost, and latency by operator.",README.md:48; README.md:70; docs/OPERATORS.md:635; docs/COSTS_AND_RECEIPTS.md:1; tests/test_operators.py; tests/test_multi_step.py,tested_pass,"Run semantic calls, query receipts and judgment_stats, verify query_id/operator/model/latency fields.",runtime_smoke_pass,"Temporary code operator codex_sql009_receipts_48f901e0 ran two unique inputs under pinned query_id 5b71e766-7c68-488f-af3d-58858f616806. Receipts had operator name, model uppercase, outputs ALPHA/BETA, null errors, matching query_id, latency_ms >= 0, one code sub_call each, and 32-byte inputs_hash. judgment_stats returned op_name, n_invocations 2, n_unique_inputs 2, zero tokens/cost, non-null first_at/last_at, and nonnegative total latency. Cleanup removed receipts, operator, wrappers, and flushed cache. docker bench pytest receipt/audit focused set passed: 5 passed.",not_needed,passed,No product changes needed.
SQL-010,rvbbit-sql,observability,EXPLAIN semantic cost preview,"As a SQL user, I want to preview semantic cost before executing a model-backed query.",EXPLAIN SEMANTIC or explain_semantic returns estimated semantic calls and dollar cost without invoking paid backends.,README.md:70; content/docs/sql-reference.md:78; tests/test_explain_semantic.py,tested_pass,Run explain_semantic against a query containing an operator; verify no receipt is created for the preview.,runtime_smoke_pass,"rvbbit.explain_semantic on SELECT rvbbit.summarize('hello there, this is a preview only') returned a Semantic Execution Graph in ESTIMATE mode, listed rvbbit.summarize [scalar -> text], showed Projected cost (cold-cache upper bound): $0.000202, and included the note that the query was NOT executed. summarize receipt count stayed 1 before and 1 after. docker bench pytest /tests/test_explain_semantic.py -q passed: 8 passed.",not_needed,passed,No product changes needed. Report wording is Projected cost rather than older Total semantic cost phrasing.
